,url,location,bed,bath,area,price
29150,https://www.rumah.com/listing-properti/dijual-rajawali-rumah-hook-harga-tanah-10038-oleh-tri-armawan-21584993,"Bintaro, Tangerang Selatan, Banten",4.0,3.0,250 m²,"3,3 M"
27608,https://www.rumah.com/listing-properti/dijual-rumah-siap-huni-di-bintaro-sektor-3-camar-oleh-ratih-ratnawulan-21069100,"Jl. Camar Bintaro, Bintaro, Tangerang Selatan, Banten",3.0,2.0,100 m²,"2,3 M"
2278,https://www.rumah.com/listing-properti/dijual-bintaro-dijual-rumah-siap-huni-ada-kolam-renang-oleh-indi-rizki-21804374,"Bintaro, Tangerang Selatan, Banten",2.0,2.0,152 m²,"2,8 M"
9810,https://www.rumah.com/listing-properti/dijual-dijual-rumah-brandnew-on-progres-discovery-lumina-bintaro-jaya-sektor-9-oleh-adi-20543840,"Bintaro, Tangerang Selatan, Banten",4.0,3.0,236 m²,"4,75 M"
23121,https://www.rumah.com/listing-properti/dijual-rumah-hommy-4-kamar-tidur-dlm-cluster-discovery-3-5-m-9639-dz-oleh-roni-21652578,"Bintaro Jaya Sektor 9, Bintaro, Tangerang Selatan, Banten",4.0,3.0,129 m²,"3,5 M"
3190,https://www.rumah.com/listing-properti/dijual-the-astelia-bintaro-oleh-imam-akbari-21609646,"Jl Jurang mangu barat no 199 , Tangerang Selatan, Gading Serpong, Tangerang Selatan, Banten",4.0,4.0,130 m²,"1,9 M"
110,https://www.rumah.com/listing-properti/dijual-rumah-di-jual-di-bintaro-posisi-hook-design-modern-sangat-nyaman-asri-oleh-indah-ayu-21246125,"Sektor 8 Bintaro Jaya, Bintaro, Tangerang Selatan, Banten",4.0,5.0,400 m²,"5,9 M"
21012,https://www.rumah.com/listing-properti/dijual-di-jual-rumah-bagus-strategis-di-bintaro-jaya-sektor-1-jakarta-selatan-oleh-dwi-sidharta-21674493,"Bintaro Sektor 1, Bintaro, Tangerang Selatan, Banten",5.0,4.0,216 m²,11 M
26567,https://www.rumah.com/listing-properti/dijual-rumah-hoek-turun-harga-di-sektor-9-bintaro-10039-sc-08111119245-oleh-lucy-rachmala-21625155,"bintaro sektor 9, Bintaro, Tangerang Selatan, Banten",3.0,2.0,150 m²,"2,9 M"
9710,https://www.rumah.com/listing-properti/dijual-anggrek-loka-graha-raya-oleh-m-noor-chandra-17217715,"Anggrek Loka Graha Raya, Serpong Utara, Tangerang Selatan, Banten",5.0,2.0,180 m²,"2,5 M"
26012,https://www.rumah.com/listing-properti/dijual-dijual-kos-kosan-lokasi-strategis-dekat-stan-di-pondok-aren-oleh-delfani-al-qutdri-adell-20397060,"Pondok Aren, Tangerang Selatan, Banten",10.0,10.0,300 m²,"3,5 M"
25429,https://www.rumah.com/listing-properti/dijual-jual-rumah-mewah-baru-modern-pool-taman-tirta-golf-bsd-oleh-evelyne-19742973,"taman tirta golf, BSD, Tangerang Selatan, Banten",5.0,2.0,1000 m²,"13,9 M"
28730,https://www.rumah.com/listing-properti/dijual-serpong-lagoon-oleh-sui-liung-21588472,"Jl. Lkr. Selatan, Kranggan, Kec. Setu, Setu, Tangerang Selatan, Banten",2.0,2.0,67 m²,900 jt
1458,https://www.rumah.com/listing-properti/dijual-dijual-rumah-2-lantai-di-pondok-kacang-dekat-graha-raya-bintaro-oleh-kristiyanti-21616460,"Pondok Kacang, Pondok Aren, Tangerang Selatan, Banten",4.0,2.0,100 m²,"1,45 M"
21801,https://www.rumah.com/listing-properti/dijual-dijual-rumah-siap-huni-di-graha-raya-bintaro-oleh-yenny-20798441,"Graha Raya Bintaro, Bintaro, Tangerang Selatan, Banten",4.0,2.0,80 m²,"1,7 M"
4297,https://www.rumah.com/listing-properti/dijual-dijual-rumah-siap-huni-bebas-banjir-strategis-di-serpong-utara-harga-all-in-bisa-kpr-oleh-sarah-maghfiratan-warahmah-21808448,"Graha Raya Cluster Fedora, Serpong Utara, Tangerang Selatan, Banten",2.0,1.0,89 m²,"2,52 M"
23971,https://www.rumah.com/listing-properti/dijual-gading-serpong-sektor-1e-oleh-olivia-20585770,"Gading serpong sektor 1e, Gading Serpong, Tangerang Selatan, Banten",3.0,3.0,220 m²,"3,8 M"
3834,https://www.rumah.com/listing-properti/dijual-jual-rumah-bintaro-sektor-5-oleh-artha-21631348,"Bintaro Sektor 5, Pondok Aren, Tangerang Selatan, Banten",6.0,5.0,170 m²,"1,6 M"
21803,https://www.rumah.com/listing-properti/dijual-dijual-rumah-bagus-siap-huni-di-bintaro-jaya-sektor-2-tangerang-selatan-oleh-yenny-20797634,"Bintaro Jaya Sektor 2, Ciputat Timur, Tangerang Selatan, Banten",5.0,4.0,152 m²,"2,4 M"
21070,https://www.rumah.com/listing-properti/dijual-rumah-dijual-di-bintaro-jaya-sektor-2-oleh-alexa-21673868,"Bintaro Sektor 2, Bintaro, Tangerang Selatan, Banten",6.0,5.0,250 m²,"3,85 M"
